,FLAG_TSUNAMI,DATE,FOCAL_DEPTH,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,DEATHS,DAMAGE,HOUSES_DESTROYED,POPULATION,PIB
0,No,22/5/1960,33.0,9.5,CHILE,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,2226.0,1000.0,58622.0,7716625.0,532.616266826495
1,No,31/5/1970,43.0,7.9,PERU,"PERU: NORTHERN, PISCO, CHICLAYO",-9.2,-78.8,66794.0,530.0,sin dato,13341069.0,557.0935265211959
2,No,28/7/1976,26.0,7.4,CHINA,CHINA:  NE:  TANGSHAN,39.664,118.401,sin dato,sin dato,sin dato,930685000.0,165.40554037241998
3,No,19/9/1985,28.0,8.1,MEXICO,MEXICO:  MICHOACAN:  MEXICO CITY,18.19,-102.533,9500.0,4000.0,sin dato,77360707.0,2384.58402748349
4,No,26/12/2003,10.0,6.6,"IRAN, ISLAMIC REP.","IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,31000.0,32.7,sin dato,68812713.0,2231.34279555916
5,Tsu,26/12/2004,30.0,9.1,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,   3.316,   95.854,227899.0,10000.0,,223614649.0,1148.5690961840899
6,No,8/10/2005,26.0,7.6,PAKISTAN,"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA",34.539,73.588,76213.0,6680.0,sin dato,153909667.0,711.469946269738
7,No,12/5/2008,19.0,7.9,CHINA,CHINA:  SICHUAN PROVINCE,31.002,103.322,87652.0,86000.0,5360000.0,1324655000.0,3471.24754726234
8,No,12/1/2010,13.0,7.0,HAITI,HAITI:  PORT-AU-PRINCE,18.457,-72.533,316000.0,8000.0,97294.0,9999617.0,662.279518162433
9,No,27/2/2010,23.0,8.8,CHILE,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,558.0,30000.0,sin dato,16993354.0,12860.1776447469
